Class,Filename
persian_cat,000001_noise_0.35_sample_01.jpg
persian_cat,000001_noise_0.35_sample_02.jpg
persian_cat,000001_noise_0.35_sample_03.jpg
persian_cat,000001_noise_0.35_sample_04.jpg
persian_cat,000001_noise_0.35_sample_05.jpg
persian_cat,000001_noise_0.35_sample_06.jpg
persian_cat,000001_noise_0.35_sample_07.jpg
persian_cat,000001_noise_0.35_sample_08.jpg
persian_cat,000001_noise_0.35_sample_09.jpg
persian_cat,000001_noise_0.35_sample_10.jpg
persian_cat,000001_noise_0.35_sample_11.jpg
persian_cat,000001_noise_0.35_sample_12.jpg
persian_cat,000001_noise_0.35_sample_13.jpg
persian_cat,000001_noise_0.35_sample_14.jpg
persian_cat,000001_noise_0.35_sample_15.jpg
persian_cat,000001_noise_0.35_sample_16.jpg
persian_cat,000001_noise_0.35_sample_17.jpg
persian_cat,000001_noise_0.35_sample_18.jpg
persian_cat,000001_noise_0.35_sample_19.jpg
persian_cat,000001_noise_0.35_sample_20.jpg
persian_cat,000001_noise_0.35_sample_21.jpg
persian_cat,000001_noise_0.35_sample_22.jpg
persian_cat,000001_noise_0.35_sample_23.jpg
persian_cat,000001_noise_0.35_sample_24.jpg
persian_cat,000001_noise_0.35_sample_25.jpg
persian_cat,000001_noise_0.35_sample_26.jpg
persian_cat,000001_noise_0.35_sample_27.jpg
persian_cat,000001_noise_0.35_sample_28.jpg
persian_cat,000001_noise_0.35_sample_29.jpg
persian_cat,000001_noise_0.35_sample_30.jpg
persian_cat,000001_noise_0.35_sample_31.jpg
persian_cat,000001_noise_0.35_sample_32.jpg
persian_cat,000001_noise_0.35_sample_33.jpg
persian_cat,000001_noise_0.35_sample_34.jpg
persian_cat,000001_noise_0.35_sample_35.jpg
persian_cat,000001_noise_0.35_sample_36.jpg
persian_cat,000001_noise_0.35_sample_37.jpg
persian_cat,000001_noise_0.35_sample_38.jpg
persian_cat,000001_noise_0.35_sample_39.jpg
persian_cat,000001_noise_0.35_sample_40.jpg
persian_cat,000001_noise_0.35_sample_41.jpg
persian_cat,000001_noise_0.35_sample_42.jpg
persian_cat,000001_noise_0.35_sample_43.jpg
persian_cat,000001_noise_0.35_sample_44.jpg
persian_cat,000001_noise_0.35_sample_45.jpg
persian_cat,000001_noise_0.35_sample_46.jpg
persian_cat,000001_noise_0.35_sample_47.jpg
persian_cat,000001_noise_0.35_sample_48.jpg
persian_cat,000001_noise_0.35_sample_49.jpg
persian_cat,000001_noise_0.35_sample_50.jpg
siamese_cat,000001_noise_0.35_sample_01.jpg
siamese_cat,000001_noise_0.35_sample_02.jpg
siamese_cat,000001_noise_0.35_sample_03.jpg
siamese_cat,000001_noise_0.35_sample_04.jpg
siamese_cat,000001_noise_0.35_sample_05.jpg
siamese_cat,000001_noise_0.35_sample_06.jpg
siamese_cat,000001_noise_0.35_sample_07.jpg
siamese_cat,000001_noise_0.35_sample_08.jpg
siamese_cat,000001_noise_0.35_sample_09.jpg
siamese_cat,000001_noise_0.35_sample_10.jpg
siamese_cat,000001_noise_0.35_sample_11.jpg
siamese_cat,000001_noise_0.35_sample_12.jpg
siamese_cat,000001_noise_0.35_sample_13.jpg
siamese_cat,000001_noise_0.35_sample_14.jpg
siamese_cat,000001_noise_0.35_sample_15.jpg
siamese_cat,000001_noise_0.35_sample_16.jpg
siamese_cat,000001_noise_0.35_sample_17.jpg
siamese_cat,000001_noise_0.35_sample_18.jpg
siamese_cat,000001_noise_0.35_sample_19.jpg
siamese_cat,000001_noise_0.35_sample_20.jpg
siamese_cat,000001_noise_0.35_sample_21.jpg
siamese_cat,000001_noise_0.35_sample_22.jpg
siamese_cat,000001_noise_0.35_sample_23.jpg
siamese_cat,000001_noise_0.35_sample_24.jpg
siamese_cat,000001_noise_0.35_sample_25.jpg
siamese_cat,000001_noise_0.35_sample_26.jpg
siamese_cat,000001_noise_0.35_sample_27.jpg
siamese_cat,000001_noise_0.35_sample_28.jpg
siamese_cat,000001_noise_0.35_sample_29.jpg
siamese_cat,000001_noise_0.35_sample_30.jpg
siamese_cat,000001_noise_0.35_sample_31.jpg
siamese_cat,000001_noise_0.35_sample_32.jpg
siamese_cat,000001_noise_0.35_sample_33.jpg
siamese_cat,000001_noise_0.35_sample_34.jpg
siamese_cat,000001_noise_0.35_sample_35.jpg
siamese_cat,000001_noise_0.35_sample_36.jpg
siamese_cat,000001_noise_0.35_sample_37.jpg
siamese_cat,000001_noise_0.35_sample_38.jpg
siamese_cat,000001_noise_0.35_sample_39.jpg
siamese_cat,000001_noise_0.35_sample_40.jpg
siamese_cat,000001_noise_0.35_sample_41.jpg
siamese_cat,000001_noise_0.35_sample_42.jpg
siamese_cat,000001_noise_0.35_sample_43.jpg
siamese_cat,000001_noise_0.35_sample_44.jpg
siamese_cat,000001_noise_0.35_sample_45.jpg
siamese_cat,000001_noise_0.35_sample_46.jpg
siamese_cat,000001_noise_0.35_sample_47.jpg
siamese_cat,000001_noise_0.35_sample_48.jpg
siamese_cat,000001_noise_0.35_sample_49.jpg
siamese_cat,000001_noise_0.35_sample_50.jpg
